DC Cartel,DC Cartel - The Original 1983,INT,Chili Oil,T475,GOLD (winner),
"Old Bones Chilli Co, LLC",Spiced Chilli Oil,INT,Chili Oil,T758,SILVER,
,,,,,,
,,,,,,
Butterfly Bakery of Vermont,Taco Vibes Only,INT,Extra Hot Chili Sauce,X571,GOLD (winner),Rank 15
Funky's Hot Sauce Factory,Seeing Stars,INT,Extra Hot Chili Sauce,X640,SILVER,
Haico's Hot Sauce,Devils Brew,INT,Extra Hot Chili Sauce,X351,SILVER,
"Old Bones Chilli Co, LLC",JAWBREAKER,INT,Extra Hot Chili Sauce,X761,BRONZE,
,,,,,,
,,,,,,
Funky's Hot Sauce Factory,Nirvana,INT,Freestyle,F641,GOLD (winner),Rank 8
Butterfly Bakery of Vermont,Hot House,INT,Freestyle,F568,SILVER,
,,,,,,
,,,,,,
Funky's Hot Sauce Factory,Stellar Fuzz,INT,Garlic Chili Sauce,G638,GOLD (winner),
"Old Bones Chilli Co, LLC",Smoked Garlic Chilli Sauce,INT,Garlic Chili Sauce,G759,SILVER,
Butterfly Bakery of Vermont,Maple Sugar Shack Sriracha,INT,Garlic Chili Sauce,G572,SILVER,
,,,,,,
,,,,,,
Funky's Hot Sauce Factory,Superfuzz,INT,Hot Chili Sauce,H639,GOLD (winner),Rank 11
Jibba’s Hot Sauce,Reaper Pineapple,INT,Hot Chili Sauce,H522,GOLD,
Haico's Hot Sauce,Haico's Madame,INT,Hot Chili Sauce,H350,GOLD,
"Old Bones Chilli Co, LLC",LONGHORN,INT,Hot Chili Sauce,H760,SILVER,
"Itnom, S.A.",Pokon Lava,INT,Hot Chili Sauce,H609,SILVER,
Jibba’s Hot Sauce,Tropical Habanero,INT,Hot Chili Sauce,H525,BRONZE,
Probiotic Plate Pvt Ltd,Spicy Maushi,INT,Hot Chili Sauce,H803,BRONZE,
Joey's Hot Sauce,The Flamethrower,INT,Hot Chili Sauce,H729,BRONZE,
,,,,,,
,,,,,,
Funky's Hot Sauce Factory,Chili Librae,INT,Medium Chili Sauce,M637,GOLD (winner),
Bob & Brian's Sauces,Laughing Frog,INT,Medium Chili Sauce,M399,GOLD,
Texan Heartland,Lone Star Reserve,INT,Medium Chili Sauce,M397,SILVER,
Joey's Hot Sauce,Priscilla The Creeper,INT,Medium Chili Sauce,M728,SILVER,
Butterfly Bakery of Vermont,Rum Barrel Fermented Smoked Jalapeno,INT,Medium Chili Sauce,M573,BRONZE,
Jibba’s Hot Sauce,Confit Garlic Buffalo,INT,Medium Chili Sauce,M519,BRONZE,
Butterfly Bakery of Vermont,Maple Wood Smoked Onion,INT,Medium Chili Sauce,M569,BRONZE,
,,,,,,
,,,,,,
Jibba’s Hot Sauce,Confit Garlic Buffalo,INT,Mild Chili Sauce,D518,GOLD (winner),
Probiotic Plate Pvt Ltd,Chingari Chachi,INT,Mild Chili Sauce,D801,GOLD,
Jibba’s Hot Sauce,Red Jalapeno & Lime ,INT,Mild Chili Sauce,D520,SILVER,
"Old Bones Chilli Co, LLC",Jalapeno & Garlic sauce,INT,Mild Chili Sauce,D755,SILVER,
Probiotic Plate Pvt Ltd,Tango Tau,INT,Mild Chili Sauce,D802,BRONZE,
Butterfly Bakery of Vermont,Mellow Vibes Only,INT,Mild Chili Sauce,D570,BRONZE,
